FBgn0038542	TyrR	Gene Expression
FBgn0039592	CG14062	Gene Expression
FBgn0038067	CG11598	Gene Expression
FBgn0039602	CG1647	Gene Expression
FBgn0264897	CG44088	Gene Expression
FBgn0038565	CG7794	Gene Expression
FBgn0039331	ND-49L	Gene Expression
FBgn0019972	Drice	Gene Expression
FBgn0046873	Pif2	Gene Expression
FBgn0038756	CG4783	Gene Expression
FBgn0039627	CG11837	Gene Expression
FBgn0039436	TwdlB	Gene Expression
FBgn0051092	LpR2	Gene Expression
FBgn0039089	beat-IV	Gene Expression
FBgn0064119	CG33934	Gene Expression
FBgn0250820	meigo	Gene Expression
FBgn0284229	CG46313	Gene Expression
FBgn0038886	Ugt49B2	Gene Expression
FBgn0038243	CG8066	Gene Expression
FBgn0283468	slmb	Gene Expression
FBgn0038598	CG7131	Gene Expression
FBgn0038407	CG6126	Gene Expression
FBgn0038627	CG7694	Gene Expression
FBgn0027654	jdp	Gene Expression
FBgn0037236	Skp2	Gene Expression
FBgn0003890	betaTub97EF	Gene Expression
FBgn0000463	Dl	Gene Expression
FBgn0039761	CG18404	Gene Expression
FBgn0051415	CG31415	Gene Expression
FBgn0037970	GC2	Gene Expression
FBgn0051463	CG31463	Gene Expression
FBgn0051077	CG31077	Gene Expression
FBgn0037723	SpdS	Gene Expression
FBgn0028374	Hug	Gene Expression
FBgn0004622	TkR99D	Gene Expression
FBgn0053207	pxb	Gene Expression
FBgn0038890	sp3	Gene Expression
FBgn0010770	ppan	Gene Expression
FBgn0046763	peg	Gene Expression
FBgn0038465	Irc	Gene Expression
FBgn0038402	Fer2	Gene Expression
FBgn0261108	Atg13	Gene Expression
FBgn0039087	Ugt303B2	Gene Expression
FBgn0262605	CG43131	Gene Expression
FBgn0263040	CG43335	Gene Expression
FBgn0020907	Scp2	Gene Expression
FBgn0038903	Polr1H	Gene Expression
FBgn0037472	CG10098	Gene Expression
FBgn0263977	Tim17b	Gene Expression
FBgn0261060	Sfp93F	Gene Expression
FBgn0015568	alpha-Est1	Gene Expression
FBgn0011270	Pglym87	Gene Expression
FBgn0051116	ClC-a	Gene Expression
FBgn0262577	CG43117	Gene Expression
FBgn0039030	CG6660	Gene Expression
FBgn0053105	p24-2	Gene Expression
FBgn0037516	CG11286	Gene Expression
FBgn0051265	CG31265	Gene Expression
FBgn0051163	SKIP	Gene Expression
FBgn0039189	CG18528	Gene Expression
FBgn0039858	CycG	Gene Expression
FBgn0261561	CG42675	Gene Expression
FBgn0002905	PolQ	Gene Expression
FBgn0003676	CCT1	Gene Expression
FBgn0040629	CAH5	Gene Expression
FBgn0038246	CG14853	Gene Expression
FBgn0043005	prt	Gene Expression
FBgn0038815	CG5466	Gene Expression
FBgn0015569	alpha-Est10	Gene Expression
FBgn0038960	CG13855	Gene Expression
FBgn0067317	Cby	Gene Expression
FBgn0039544	CG12877	Gene Expression
FBgn0038356	CG12784	Gene Expression
FBgn0051437	CG31437	Gene Expression
FBgn0028400	Syt4	Gene Expression
FBgn0039233	CG7006	Gene Expression
FBgn0288631	Yif1	Gene Expression
FBgn0039225	Ets96B	Gene Expression
FBgn0051327	CG31327	Gene Expression
FBgn0261290	CheA84a	Gene Expression
FBgn0002609	E(spl)m3-HLH	Gene Expression
FBgn0051013	CG31013	Gene Expression
FBgn0037898	Dtd	Gene Expression
FBgn0051206	CG31206	Gene Expression
FBgn0038037	Cyp9f2	Gene Expression
FBgn0037449	CG15185	Gene Expression
FBgn0002924	ncd	Gene Expression
FBgn0037623	CG9801	Gene Expression
FBgn0038989	CG6937	Gene Expression
FBgn0038526	CG14327	Gene Expression
FBgn0038203	Or88a	Gene Expression
FBgn0037608	mRpL19	Gene Expression
FBgn0260713	CG42544	Gene Expression
FBgn0037483	CG14609	Gene Expression
FBgn0028476	Usp1	Gene Expression
FBgn0038046	CG5641	Gene Expression
FBgn0051202	alpha-Man-Ic	Gene Expression
FBgn0039147	CG10694	Gene Expression
FBgn0038349	AOX3	Gene Expression
FBgn0010441	pll	Gene Expression
FBgn0039402	Vps2	Gene Expression
FBgn0037715	CG9399	Gene Expression
FBgn0010399	Nmdar1	Gene Expression
FBgn0267975	vib	Gene Expression
FBgn0015331	abs	Gene Expression
FBgn0027948	msps	Gene Expression
FBgn0011655	Med	Gene Expression
FBgn0266758	Esyt2	Gene Expression
FBgn0004781	Ccp84Ac	Gene Expression
FBgn0085346	Rpp14a	Gene Expression
FBgn0039075	CG4393	Gene Expression
FBgn0000274	Pka-C2	Gene Expression
FBgn0039448	TwdlQ	Gene Expression
FBgn0003356	Jon99Cii	Gene Expression
FBgn0039094	CG10184	Gene Expression
FBgn0010044	GstD8	Gene Expression
FBgn0051223	CG31223	Gene Expression
FBgn0263490	mld	Gene Expression
FBgn0250910	Octbeta3R	Gene Expression
FBgn0262617	Nuak	Gene Expression
FBgn0038360	CG9590	Gene Expression
FBgn0051352	Unc-115a	Gene Expression
FBgn0037290	CG1124	Gene Expression
FBgn0038069	CG11608	Gene Expression
FBgn0037262	MED31	Gene Expression
FBgn0045473	Gr85a	Gene Expression
FBgn0039840	pHCl-2	Gene Expression
FBgn0037679	Aduk	Gene Expression
FBgn0039282	Bili	Gene Expression
FBgn0037896	ninaG	Gene Expression
FBgn0266668	Exo84	Gene Expression
FBgn0037363	Atg17	Gene Expression
FBgn0014018	Rel	Gene Expression
FBgn0037552	CG7800	Gene Expression
FBgn0037488	CG14607	Gene Expression
FBgn0038597	CG8064	Gene Expression
FBgn0082582	tmod	Gene Expression
FBgn0040279	Osi14	Gene Expression
FBgn0261844	pre-mod(mdg4)-V	Gene Expression
FBgn0002868	MtnA	Gene Expression
FBgn0037589	Obp85a	Gene Expression
FBgn0038468	CG5225	Gene Expression
FBgn0010389	htl	Gene Expression
FBgn0039371	CG4960	Gene Expression
FBgn0259152	Clbn	Gene Expression
FBgn0051560	CG31560	Gene Expression
FBgn0037782	Npc2d	Gene Expression
FBgn0039347	CG5071	Gene Expression
FBgn0037668	CG16736	Gene Expression
FBgn0038881	aus	Gene Expression
FBgn0011669	Mst57Db	Gene Expression
FBgn0038796	eIF3g2	Gene Expression
FBgn0038014	CG10041	Gene Expression
FBgn0038210	CG3199	Gene Expression
FBgn0041621	Or82a	Gene Expression
FBgn0037911	CG10898	Gene Expression
FBgn0037685	Or85f	Gene Expression
FBgn0039015	Takl2	Gene Expression
FBgn0037254	sac	Gene Expression
FBgn0266137	Dop1R2	Gene Expression
FBgn0053337	CG33337	Gene Expression
FBgn0038460	CG18622	Gene Expression
FBgn0261053	Cad86C	Gene Expression
FBgn0037375	kat-60L1	Gene Expression
FBgn0014930	CG2846	Gene Expression
FBgn0037626	CG8236	Gene Expression
FBgn0051051	CG31051	Gene Expression
FBgn0286204	ich	Gene Expression
