2L	4457290	4457374	2	2	1	6	0	18
2L	5985221	5985338	1	1	1	6	0	25
2L	7568979	7576244	2	2	1	1	0	9
2L	9125941	9126769	1	1	1	1	0	1
2L	9125941	9126880	1	1	1	1	0	17
2L	9703179	9703267	2	2	1	1	0	9
2L	19488378	19488434	1	1	1	1	0	7
2L	22535064	22535616	2	2	1	1	0	14
2R	1515837	1515889	2	2	1	1	0	17
2R	11100115	11105906	2	2	1	2	0	26
2R	17027340	17028672	1	1	1	1	0	9
2R	17546167	17546239	1	1	1	1	0	2
2R	19443099	19443312	1	1	1	1	0	4
2R	21290971	21291031	2	2	1	1	0	11
2R	21294162	21294230	1	1	1	2	0	24
2R	21502480	21507294	1	1	1	1	0	10
2R	23386046	23386116	2	2	1	1	0	22
2R	24939218	24939273	1	1	1	1	0	3
3L	2541404	2554057	2	2	1	6	0	16
3L	8450458	8451774	1	1	1	1	0	8
3L	9135902	9136300	2	2	1	1	0	4
3L	11062390	11062455	2	2	1	1	0	9
3L	11196876	11197238	2	2	1	1	0	9
3L	20523282	20523351	2	2	1	1	0	4
3L	23093879	23094683	2	4	1	5	0	22
3R	20579233	20579453	2	2	1	1	0	4
3R	20822574	20822801	1	1	1	2	0	24
3R	22359761	22359836	1	1	1	1	0	6
3R	25516350	25519260	1	1	1	2	0	4
3R	30206722	30208092	2	2	1	3	0	3
X	2705926	2705993	1	1	1	1	0	12
X	8410690	8418350	1	1	1	1	0	1
X	9472658	9499873	2	2	1	37	0	18
X	9472658	9499885	2	2	1	18	0	12
X	9554929	9554995	1	1	1	27	0	12
X	12659549	12660533	1	1	1	1	0	13
