2L	11345	11409	-	12409
2L	11345	11778	-	12409
2L	11519	11778	-	12409
2L	12222	12285	-	12409
2L	12929	13519	-	12409
2L	13626	13682	-	12409
2L	14875	14932	-	12409
2L	15712	17052	-	12409
2L	15712	19879	-	12409
2L	15712	19884	-	12409
2L	17213	18025	-	12409
2L	17213	18260	-	12409
2L	17213	19879	-	12409
2L	17213	21135	-	12409
2L	18169	18260	-	12409
2L	20016	20830	-	12409
2L	20016	21065	-	12409
2L	20016	21135	-	12409
2L	20021	21065	-	12409
2L	20021	21135	-	12409
2L	20974	21065	-	12409
2L	21201	21348	-	12409
2L	22688	22742	-	11999
2L	22936	22993	-	11999
2L	23874	23928	-	11999
2L	24211	24746	-	11999
2L	26689	26765	-	11462
2L	26965	27052	-	11462
2L	27491	28014	-	11462
2L	27491	28410	-	11462
2L	28241	28732	-	11462
2L	28640	28732	-	11462
2L	28927	28981	-	11462
2L	29069	30393	-	11462
2L	29069	33844	-	11462
2L	29069	34557	-	11462
2L	29069	35745	-	11462
2L	33271	33844	-	11462
2L	33271	34557	-	11462
2L	34289	34557	-	11462
2L	34605	34719	-	11462
2L	34913	35745	-	11462
2L	35213	35745	-	11462
2L	35213	38534	-	11462
2L	38299	38534	-	11462
2L	38732	39300	-	11462
2L	39858	58080	-	11462
2L	58177	59189	-	11462
2L	58183	58248	-	11462
2L	58183	58958	-	11462
2L	58183	59189	-	11462
2L	58183	65345	-	11462
2L	58194	59189	-	11462
2L	58351	59189	-	11462
2L	58732	59189	-	11462
2L	66613	66675	+	13450
2L	67004	67388	+	13450
2L	67112	67388	+	13450
2L	67138	67388	+	13450
2L	67508	67568	+	13450
2L	67763	67891	+	13450
2L	68024	68084	+	13450
2L	70550	70606	+	13450
2L	71805	71949	+	12323
2L	72082	74902	+	12323
2L	72978	74902	+	12323
2L	73693	73819	+	12323
2L	73693	74902	+	12323
2L	73898	74902	+	12323
2L	74573	74902	+	12323
2L	75019	75077	+	12323
2L	77584	77641	+	12139
2L	84278	87019	-	13153
2L	94893	94988	+	13720
2L	95071	95131	+	13720
2L	95302	95353	+	13720
2L	97834	97883	+	13720
2L	98471	98526	+	13720
2L	99724	99784	+	13720
2L	100517	100571	+	13720
2L	100704	100761	+	13720
2L	100943	101015	+	13720
2L	101195	101248	+	13720
2L	101620	101875	+	13720
2L	102907	103005	+	11292
2L	103435	103515	+	11292
2L	103435	103877	+	11292
2L	104948	105004	-	13107
2L	105337	105390	-	13107
2L	105456	105511	-	13107
2L	105916	105968	-	13107
2L	107001	107764	+	12605
2L	107839	108587	+	12605
2L	107957	108587	+	12605
2L	108102	108587	+	12605
2L	108227	108587	+	12605
